Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimaCotacao,ultimoDividendo
BCFF11,Títulos e Val. Mob.,71.69,9.37%,8.94%,0.93,1805610000,2785900,0,0.00,0.00,0.00%,0.00%,71.69,0.56
BCIA11,Títulos e Val. Mob.,90.20,10.66%,9.05%,0.88,335457000,338185,0,0.00,0.00,0.00%,0.00%,90.2,0.74
BCRI11,Títulos e Val. Mob.,104.29,12.11%,14.58%,0.98,652634000,975530,0,0.00,0.00,0.00%,0.00%,104.29,1.29
BICR11,Títulos e Val. Mob.,102.89,8.64%,7.80%,1.02,51445000,1403,0,0.00,0.00,0.00%,0.00%,102.89,0.82
BIME11,Híbrido,9.28,7.59%,9.08%,1.01,54247200,164156,2,1504.17,0.00,0.00%,0.00%,9.28,0.13
BLCA11,Lajes Corporativas,90.00,3.36%,3.41%,1.02,144000000,1173,1,45433.30,1446.26,3.18%,0.00%,90,0.56
BLCP11,Logística,88.97,5.53%,6.16%,0.80,204300000,200164,2,2944.21,199.89,6.79%,0.00%,88.97,0.52
BLMC11,Títulos e Val. Mob.,85.99,12.37%,15.16%,0.88,34353000,30093,0,0.00,0.00,0.00%,0.00%,85.99,1.17
BLMG11,Outros,83.78,9.33%,11.82%,0.92,319251000,479042,2,788.58,59.65,7.56%,0.00%,83.78,0.8
BLMO11,Lajes Corporativas,23998.00,-0.07%,0.65%,0.82,91120400,24090,1,14150.80,306.46,2.17%,0.00%,23998,37.45
BLMR11,Títulos e Val. Mob.,7.92,12.67%,10.97%,1.00,202290000,506822,0,0.00,0.00,0.00%,0.00%,7.92,0.08
BLUR11,Títulos e Val. Mob.,102.50,2.19%,5.97%,0.99,9225000,17336,0,0.00,0.00,0.00%,0.00%,102.5,1.03
BMLC11,Híbrido,100.00,8.15%,8.27%,0.92,99840500,93614,2,14086200.00,1270990.57,9.02%,0.00%,100,0.72
BNFS11,Outros,123.97,12.11%,12.68%,1.25,86779000,111102,18,8004.33,1184.91,14.80%,0.00%,123.97,1.48
BPFF11,Outros,69.50,12.29%,11.06%,0.92,312217000,534787,0,0.00,0.00,0.00%,0.00%,69.5,0.7
BPML11,Shoppings,62.67,4.75%,4.35%,0.50,269799000,67466,4,3400800.00,595082.46,17.50%,5.94%,62.67,0.15
BPRP11,Outros,99.01,10.13%,10.28%,0.91,133647000,304,1,5790.28,610.43,10.54%,0.00%,99.01,0.86
BRCO11,Logística,110.40,6.93%,6.89%,0.93,1631580000,3259040,11,3633.53,297.05,8.18%,0.00%,110.4,0.7
BRCR11,Híbrido,67.06,8.79%,8.58%,0.66,1786360000,2466910,9,11706.70,1150.78,9.83%,12.72%,67.06,0.47
BREV11,Híbrido,106.15,5.91%,6.27%,0.97,102668000,128718,14,17415.00,1257.24,7.22%,0.00%,106.15,0.61
BRIM11,Residencial,1030.22,6.85%,17.22%,1.04,127888000,93,4,9071.00,0.00,0.00%,0.00%,1030.22,27
