<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.16	13:49:00	110792	110844	110792	110844	35951	290801000	0
2022.11.16	13:50:00	110800	110801	110800	110801	31798	218551700	0
2022.11.16	13:51:00	110794	110794	110724	110724	27113	252709800	0
2022.11.16	13:52:00	110705	110705	110651	110651	36545	314261700	0
2022.11.16	13:53:00	110635	110675	110635	110675	27292	182337740	0
2022.11.16	13:54:00	110674	110674	110670	110670	28362	339931300	0
2022.11.16	13:55:00	110642	110642	110623	110623	26892	205205310	0
2022.11.16	13:56:00	110656	110667	110656	110667	34499	292830700	0
2022.11.16	13:57:00	110709	110730	110709	110730	35052	273632800	0
2022.11.16	13:58:00	110707	110710	110707	110710	32106	246017200	0
2022.11.16	13:59:00	110693	110693	110674	110674	23825	170093750	0
2022.11.16	14:00:00	110674	110719	110674	110719	37225	340457500	0
2022.11.16	14:01:00	110773	110773	110735	110735	22164	169463220	0
2022.11.16	14:02:00	110710	110710	110708	110708	22943	140667680	0
2022.11.16	14:03:00	110661	110730	110661	110730	28763	195342800	0
2022.11.16	14:04:00	110684	110684	110634	110634	27365	211284060	0
2022.11.16	14:05:00	110633	110640	110633	110640	24786	277294220	0
2022.11.16	14:06:00	110650	110722	110650	110722	30659	233682400	0
2022.11.16	14:07:00	110691	110738	110691	110738	31257	505676960	0
2022.11.16	14:08:00	110754	110767	110754	110767	25989	187437400	0
2022.11.16	14:09:00	110764	110764	110758	110758	25704	171188870	0
2022.11.16	14:10:00	110728	110728	110661	110661	34198	283310440	0
2022.11.16	14:11:00	110700	110700	110681	110681	21648	193082720	0
2022.11.16	14:12:00	110589	110589	110521	110521	43620	347013400	0
2022.11.16	14:13:00	110561	110561	110458	110458	57941	493714200	0
2022.11.16	14:14:00	110462	110462	110443	110443	41891	321944300	0
2022.11.16	14:15:00	110442	110455	110442	110455	38374	270023100	0
2022.11.16	14:16:00	110377	110377	110374	110374	59830	514529800	0
2022.11.16	14:17:00	110438	110446	110438	110446	29568	236091300	0
2022.11.16	14:18:00	110491	110492	110491	110492	31109	324585400	0
2022.11.16	14:19:00	110518	110518	110495	110495	27653	229724620	0
2022.11.16	14:20:00	110519	110519	110478	110478	29045	244296300	0
2022.11.16	14:21:00	110441	110441	110396	110396	30918	288712000	0
2022.11.16	14:22:00	110397	110398	110397	110398	22806	166275220	0
2022.11.16	14:23:00	110516	110516	110471	110471	35052	331035260	0
2022.11.16	14:24:00	110466	110481	110466	110481	35970	311381600	0
2022.11.16	14:25:00	110541	110567	110541	110567	42107	426234100	0
2022.11.16	14:26:00	110509	110509	110489	110489	27359	240685400	0
2022.11.16	14:27:00	110457	110457	110447	110447	33012	444595400	0
2022.11.16	14:28:00	110511	110514	110511	110514	27342	207138500	0
2022.11.16	14:29:00	110493	110522	110493	110522	22770	160691080	0
2022.11.16	14:30:00	110524	110524	110503	110503	25763	205910980	0
2022.11.16	14:31:00	110560	110560	110541	110541	26010	216260620	0
2022.11.16	14:32:00	110641	110695	110641	110695	50313	433733800	0
2022.11.16	14:33:00	110703	110703	110694	110694	29394	216517440	0
2022.11.16	14:34:00	110666	110666	110661	110661	25649	356996100	0
2022.11.16	14:35:00	110674	110714	110674	110714	27047	210988410	0
2022.11.16	14:36:00	110741	110741	110720	110720	29661	396261700	0
2022.11.16	14:37:00	110745	110786	110745	110786	26598	228841300	0
2022.11.16	14:38:00	110840	110840	110720	110720	33580	425564300	0
2022.11.16	14:39:00	110774	110774	110721	110721	30654	368150100	0
2022.11.16	14:40:00	110720	110720	110697	110697	33671	395656000	0
2022.11.16	14:41:00	110731	110731	110729	110729	29802	221704980	0
2022.11.16	14:42:00	110693	110703	110693	110703	36208	296588800	0
2022.11.16	14:43:00	110651	110652	110651	110652	30125	330502400	0
2022.11.16	14:44:00	110676	110703	110676	110703	38416	320955700	0
2022.11.16	14:45:00	110716	110732	110716	110732	28866	262670260	0
2022.11.16	14:46:00	110756	110766	110756	110766	28601	522787400	0
2022.11.16	14:47:00	110772	110772	110710	110710	34992	342327900	0
2022.11.16	14:48:00	110759	110759	110751	110751	24227	212461160	0
2022.11.16	14:49:00	110753	110753	110706	110706	28356	244039610	0
2022.11.16	14:50:00	110673	110673	110672	110672	32664	457194700	0
2022.11.16	14:51:00	110674	110720	110674	110720	45851	507190000	0
2022.11.16	14:52:00	110667	110667	110641	110641	29278	288186800	0
2022.11.16	14:53:00	110632	110658	110632	110658	26610	195835950	0
2022.11.16	14:54:00	110689	110692	110689	110692	31643	331212900	0
2022.11.16	14:55:00	110711	110714	110711	110714	36509	278809710	0
2022.11.16	14:56:00	110717	110717	110705	110705	41766	303218700	0
2022.11.16	14:57:00	110711	110711	110665	110665	44860	333744100	0
2022.11.16	14:58:00	110652	110652	110650	110650	37767	248231300	0
2022.11.16	14:59:00	110649	110655	110649	110655	39928	348902880	0
2022.11.16	15:00:00	110640	110640	110547	110547	48803	340675480	0
2022.11.16	15:01:00	110523	110523	110488	110488	46553	315778900	0
2022.11.16	15:02:00	110531	110531	110223	110223	109215	1076840200	0
2022.11.16	15:03:00	110270	110317	110270	110317	50219	499669400	0
2022.11.16	15:04:00	110336	110364	110336	110364	36876	287692200	0
2022.11.16	15:05:00	110323	110325	110323	110325	34818	260253900	0
2022.11.16	15:06:00	110321	110321	110310	110310	45622	461179400	0
2022.11.16	15:07:00	110313	110313	110299	110299	40678	463090600	0
2022.11.16	15:08:00	110288	110288	110234	110234	38855	317935900	0
2022.11.16	15:09:00	110109	110142	110109	110142	55619	439925400	0
2022.11.16	15:10:00	110204	110283	110204	110283	39797	301842200	0
2022.11.16	15:11:00	110277	110277	110249	110249	37926	318217660	0
2022.11.16	15:12:00	110231	110231	110205	110205	44182	249379800	0
2022.11.16	15:13:00	110199	110199	110176	110176	26862	295310540	0
2022.11.16	15:14:00	110090	110134	110090	110134	43529	368702900	0
2022.11.16	15:15:00	110156	110156	110067	110067	45911	363811600	0
2022.11.16	15:16:00	110048	110104	110048	110104	46416	617999100	0
2022.11.16	15:17:00	110049	110049	109996	109996	48351	348198100	0
2022.11.16	15:18:00	109977	109977	109953	109953	43740	332526100	0
2022.11.16	15:19:00	109963	109963	109934	109934	52786	380826200	0
2022.11.16	15:20:00	109927	109964	109927	109964	44342	344159600	0
2022.11.16	15:21:00	109954	109954	109953	109953	49536	455370000	0
2022.11.16	15:22:00	109935	109935	109868	109868	54855	391454000	0
2022.11.16	15:23:00	109903	109948	109903	109948	41081	303402900	0
2022.11.16	15:24:00	109970	109970	109944	109944	48255	321105820	0
2022.11.16	15:25:00	109953	109953	109908	109908	43420	323456900	0
2022.11.16	15:26:00	109870	109877	109870	109877	44154	332326800	0
2022.11.16	15:27:00	109885	109900	109885	109900	41554	692793400	0
2022.11.16	15:28:00	109898	109898	109878	109878	33972	221271880	0
2022.11.16	15:29:00	109889	109889	109877	109877	36207	250361900	0
2022.11.16	15:30:00	109935	110019	109935	110019	45331	367328420	0
2022.11.16	15:31:00	109946	109946	109936	109936	43230	400041200	0
2022.11.16	15:32:00	109889	109889	109848	109848	41491	337996400	0
2022.11.16	15:33:00	109699	109699	109691	109691	76457	811680600	0
2022.11.16	15:34:00	109715	109766	109715	109766	48119	490838800	0
2022.11.16	15:35:00	109753	109802	109753	109802	53307	410142300	0
2022.11.16	15:36:00	109792	109792	109737	109737	41255	303532500	0
2022.11.16	15:37:00	109764	109764	109746	109746	35265	287188400	0
2022.11.16	15:38:00	109795	109839	109795	109839	44412	297708500	0
2022.11.16	15:39:00	109878	109945	109878	109945	46169	337183300	0
2022.11.16	15:40:00	109930	109930	109898	109898	41637	309588300	0
2022.11.16	15:41:00	109863	109941	109863	109941	42346	281524800	0
2022.11.16	15:42:00	109965	109966	109965	109966	37984	364650240	0
2022.11.16	15:43:00	109873	109873	109697	109697	77577	702565300	0
2022.11.16	15:44:00	109704	109729	109704	109729	41891	280262300	0
2022.11.16	15:45:00	109689	109837	109689	109837	57210	539844800	0
2022.11.16	15:46:00	109739	109739	109658	109658	61912	463027200	0
